═══════════════════════════════════════════════════════════════
    LOG DE ALERTAS DE SEGURANÇA - Monitor eBPF
    Iniciado em: 2025-12-14 19:38:27
═══════════════════════════════════════════════════════════════

[2025-12-14 19:38:38.882] [PERIGO] [DEADLOCK_POTENCIAL] DEADLOCK POTENCIAL! Threads vão adquirir recursos em ordem diferente - risco de espera circular | Threads: [Thread-A,Thread-B] | Recursos: [R1,R2]
[2025-12-14 19:38:39.434] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:38:40.437] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:38:41.439] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:38:42.443] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:38:43.446] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:38:44.099] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5051ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:44.100] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5052ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:44.202] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5164ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:44.202] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5165ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:44.306] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5268ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
